Time,Measurement,TouchTag,SubjectID
15:25:00.500000,5.397042,0,A1
15:25:00.750000,5.3919169999999985,0,A1
15:25:01,5.384231,0,A1
15:25:01.250000,5.375263,0,A1
15:25:01.500000,5.372701,0,A1
15:25:01.750000,5.377825,0,A1
15:25:02,5.373982,0,A1
15:25:02.250000,5.367577,0,A1
15:25:02.500000,5.363733,0,A1
15:25:02.750000,5.35989,0,A1
15:25:03,5.345798,0,A1
15:25:03.250000,5.34836,0,A1
15:25:03.500000,5.3355489999999985,0,A1
15:25:03.750000,5.329144,0,A1
15:25:04,5.320176,0,A1
15:25:04.250000,5.322737999999998,0,A1
15:25:04.500000,5.316332,0,A1
15:25:04.750000,5.30224,0,A1
15:25:05,5.259964,0,A1
15:25:05.250000,5.19719,0,A1
15:25:05.500000,5.193347,0,A1
15:25:05.750000,5.18566,0,A1
15:25:06,5.184379,0,A1
15:25:06.250000,5.195909,0,A1
15:25:06.500000,5.203596,0,A1
15:25:06.750000,5.2151260000000015,0,A1
15:25:07,5.203596,0,A1
15:25:07.250000,5.203596,0,A1
15:25:07.500000,5.201034,0,A1
15:25:07.750000,5.193347,0,A1
15:25:08,5.180536,0,A1
15:25:08.250000,5.1728489999999985,0,A1
15:25:08.500000,5.163882,0,A1
15:25:08.750000,5.153633,0,A1
15:25:09,5.144665,0,A1
15:25:09.250000,5.140822,0,A1
15:25:09.500000,5.124167,0,A1
15:25:09.750000,5.125449,0,A1
15:25:10,5.112638,0,A1
15:25:10.250000,5.1087940000000005,0,A1
15:25:10.500000,5.106232,0,A1
15:25:10.750000,5.089578,0,A1
15:25:11,5.085734,0,A1
15:25:11.250000,5.08061,0,A1
15:25:11.500000,5.094702,0,A1
15:25:11.750000,5.111356,0,A1
15:25:12,5.107513,0,A1
15:25:12.250000,5.110075,0,A1
15:25:12.500000,5.106232,0,A1
15:25:12.750000,5.0818910000000015,0,A1
15:25:13,5.066518,0,A1
15:25:13.250000,5.058831,0,A1
15:25:13.500000,5.043458,0,A1
15:25:13.750000,5.046021,0,A1
15:25:14,5.043458,0,A1
15:25:14.250000,5.029366,0,A1
15:25:14.500000,5.016555,0,A1
15:25:14.750000,5.019117,0,A1
15:25:15,5.008869,0,A1
15:25:15.250000,4.997339,0,A1
15:25:15.500000,4.9934949999999985,0,A1
15:25:15.750000,4.979403,0,A1
15:25:16,4.979403,0,A1
15:25:16.250000,4.967873,0,A1
15:25:16.500000,4.957624,0,A1
15:25:16.750000,4.953780999999998,0,A1
15:25:17,4.94097,0,A1
15:25:17.250000,4.933284,0,A1
15:25:17.500000,4.923035,0,A1
15:25:17.750000,4.928585,0,A1
15:25:18,4.914493,0,A1
15:25:18.250000,4.91065,0,A1
15:25:18.500000,4.908087,0,A1
15:25:18.750000,4.8939949999999985,0,A1
15:25:19,4.886309,0,A1
15:25:19.250000,4.87606,0,A1
15:25:19.500000,4.878622,0,A1
15:25:19.750000,4.874779,0,A1
15:25:20,4.87606,0,A1
15:25:20.250000,4.8734980000000006,0,A1
15:25:20.500000,4.858125,0,A1
15:25:20.750000,4.850438,0,A1
15:25:21,4.841469999999998,0,A1
15:25:21.250000,4.841469999999998,0,A1
15:25:21.500000,4.824816,0,A1
15:25:21.750000,4.819692,0,A1
15:25:22,4.813286,0,A1
15:25:22.250000,4.8056,0,A1
15:25:22.500000,4.8030370000000016,0,A1
15:25:22.750000,4.795351,0,A1
15:25:23,4.786383,0,A1
15:25:23.250000,4.779977,0,A1
15:25:23.500000,4.777415,0,A1
15:25:23.750000,4.768447,0,A1
15:25:24,4.7607610000000005,0,A1
15:25:24.250000,4.7581989999999985,0,A1
