EDA_Time,Measurement,TouchTag,SubjectID,,SubjectID,Average EDA,Max EDA
22:57.7,0.497007,0,B1,,,,
15:22:58,0.494445,0,B1,,,,
22:58.3,0.495726,0,B1,,,,
22:58.5,0.493164,0,B1,,,,
22:58.7,0.495726,0,B1,,,,
15:22:59,0.495726,0,B1,,,,
22:59.3,0.493164,0,B1,,,,
22:59.5,0.491883,0,B1,,,,
22:59.8,0.491883,0,B1,,,,
15:23:00,0.493164,0,B1,,,,
23:00.3,0.493164,0,B1,,,,
23:00.5,0.491883,0,B1,,,,
23:00.8,0.494445,0,B1,,,,
15:23:01,0.491883,0,B1,,,,
23:01.2,0.493164,0,B1,,,,
23:01.5,0.493164,0,B1,,,,
23:01.8,0.490602,0,B1,,,,
15:23:02,0.491883,0,B1,,,,
23:02.3,0.490602,0,B1,,,,
23:02.5,0.490602,0,B1,,,,
23:02.8,0.491883,0,B1,,,,
15:23:03,0.489321,0,B1,,,,
23:03.3,0.490602,0,B1,,,,
23:03.5,0.489321,0,B1,,,,
23:03.8,0.489321,0,B1,,,,
15:23:04,0.490602,0,B1,,,,
23:04.3,0.490602,0,B1,,,,
23:04.5,0.490602,0,B1,,,,
23:04.7,0.491883,0,B1,,,,
15:23:05,0.490602,0,B1,,,,
23:05.3,0.493164,0,B1,,,,
23:05.5,0.491883,0,B1,,,,
23:05.8,0.490602,0,B1,,,,
15:23:06,0.491883,0,B1,,,,
23:06.3,0.482916,0,B1,,,,
23:06.5,0.485478,0,B1,,,,
23:06.7,0.482916,0,B1,,,,
15:23:07,0.481635,0,B1,,,,
23:07.2,0.481635,0,B1,,,,
23:07.5,0.479074,0,B1,,,,
23:07.8,0.481635,0,B1,,,,
15:23:08,0.480354,0,B1,,,,
23:08.2,0.479074,0,B1,,,,
23:08.5,0.480354,0,B1,,,,
23:08.8,0.481635,0,B1,,,,
15:23:09,0.482916,0,B1,,,,
23:09.3,0.481635,0,B1,,,,
23:09.5,0.479074,0,B1,,,,
23:09.8,0.479074,0,B1,,,,
15:23:10,0.480354,0,B1,,,,
23:10.3,0.477793,0,B1,,,,
23:10.5,0.476512,0,B1,,,,
23:10.7,0.476512,0,B1,,,,
15:23:11,0.475231,0,B1,,,,
23:11.3,0.476512,0,B1,,,,
23:11.5,0.476512,0,B1,,,,
23:11.8,0.47395,0,B1,,,,
15:23:12,0.476512,0,B1,,,,
23:12.3,0.472669,0,B1,,,,
23:12.5,0.476512,0,B1,,,,
23:12.8,0.48804,0,B1,,,,
15:23:13,0.482916,0,B1,,,,
23:13.3,0.486759,0,B1,,,,
23:13.5,0.482916,0,B1,,,,
23:13.8,0.482916,0,B1,,,,
15:23:14,0.481635,0,B1,,,,
23:14.2,0.479074,0,B1,,,,
23:14.5,0.481635,0,B1,,,,
23:14.8,0.479074,0,B1,,,,
15:23:15,0.481635,0,B1,,,,
23:15.3,0.480354,0,B1,,,,
23:15.5,0.480354,0,B1,,,,
23:15.8,0.481635,0,B1,,,,
15:23:16,0.479074,0,B1,,,,
23:16.2,0.480354,0,B1,,,,
23:16.5,0.480354,0,B1,,,,
23:16.7,0.479074,0,B1,,,,
15:23:17,0.491883,0,B1,,,,
23:17.3,0.476512,0,B1,,,,
23:17.5,0.475231,0,B1,,,,
23:17.7,0.476512,0,B1,,,,
15:23:18,0.47395,0,B1,,,,
23:18.3,0.476512,0,B1,,,,
23:18.5,0.47395,0,B1,,,,
23:18.7,0.475231,0,B1,,,,
15:23:19,0.476512,0,B1,,,,
23:19.3,0.475231,0,B1,,,,
23:19.5,0.476512,0,B1,,,,
23:19.8,0.47395,0,B1,,,,
15:23:20,0.475231,0,B1,,,,
23:20.2,0.477793,0,B1,,,,
23:20.5,0.476512,0,B1,,,,
23:20.8,0.484197,0,B1,,,,
15:23:21,0.486759,0,B1,,,,
23:21.3,0.491883,0,B1,,,,
23:21.5,0.494445,0,B1,,,,
23:21.8,0.493164,0,B1,,,,
15:23:22,0.493164,0,B1,,,,
23:22.3,0.491883,0,B1,,,,
23:22.5,0.490602,0,B1,,,,
23:22.8,0.489321,0,B1,,,,
15:23:23,0.486759,0,B1,,,,
23:23.3,0.486759,0,B1,,,,
23:23.5,0.484197,0,B1,,,,
23:23.7,0.484197,0,B1,,,,
15:23:24,0.484197,0,B1,,,,
23:24.3,0.481635,0,B1,,,,
23:24.5,0.482916,0,B1,,,,
23:24.8,0.482916,0,B1,,,,
15:23:25,0.482916,0,B1,,,,
23:25.3,0.484197,0,B1,,,,
23:25.5,0.482916,0,B1,,,,
23:25.7,0.484197,0,B1,,,,
15:23:26,0.482916,0,B1,,,,
23:26.2,0.480354,0,B1,,,,
23:26.5,0.481635,0,B1,,,,
23:26.8,0.481635,0,B1,,,,
15:23:27,0.481635,0,B1,,,,
23:27.2,0.480354,0,B1,,,,
23:27.5,0.477793,0,B1,,,,
23:27.8,0.479074,0,B1,,,,
15:23:28,0.476512,0,B1,,,,
23:28.2,0.476512,0,B1,,,,
23:28.5,0.477793,0,B1,,,,
23:28.8,0.47395,0,B1,,,,
15:23:29,0.476512,0,B1,,,,
23:29.3,0.47395,0,B1,,,,
23:29.5,0.475231,0,B1,,,,
23:29.7,0.476512,0,B1,,,,
15:23:30,0.472669,0,B1,,,,
23:30.3,0.475231,0,B1,,,,
23:30.5,0.472669,0,B1,,,,
23:30.8,0.475231,0,B1,,,,
